query,context,relevance
Find a Romance prompt about love,"<Romance> </Romance> <Love> </Love> <The Bookstore Meet-Cute> </The Bookstore Meet-Cute> prompt Two people keep reaching for the same obscure book in a dusty, independent bookstore.",1.0
Find a writing prompt about obscure and reaching,"<Romance> </Romance> <Love> </Love> <The Bookstore Meet-Cute> </The Bookstore Meet-Cute> prompt Two people keep reaching for the same obscure book in a dusty, independent bookstore.",1.0
Find a Fantasy writing prompt,"<Romance> </Romance> <Love> </Love> <The Bookstore Meet-Cute> </The Bookstore Meet-Cute> prompt Two people keep reaching for the same obscure book in a dusty, independent bookstore.",0.0
Find a writing prompt about actually,"<Historical Fiction> </Historical Fiction> <The Past> </The Past> <The Spy's Diary> </The Spy's Diary> prompt While renovating an old house, someone finds a diary from World War II detailing the life of a seemingly ordinary person who was actually a spy.",1.0
Find a Fantasy writing prompt,"<Historical Fiction> </Historical Fiction> <The Past> </The Past> <The Spy's Diary> </The Spy's Diary> prompt While renovating an old house, someone finds a diary from World War II detailing the life of a seemingly ordinary person who was actually a spy.",0.0
Find a writing prompt about relative and peculiar and along,"<Contemporary> </Contemporary> <Identity> </Identity> <The Unexpected Inheritance> </The Unexpected Inheritance> prompt A struggling artist inherits a peculiar antique shop from a relative they never knew they had, along with a cryptic note.",1.0
Find a Fantasy writing prompt,"<Contemporary> </Contemporary> <Identity> </Identity> <The Unexpected Inheritance> </The Unexpected Inheritance> prompt A struggling artist inherits a peculiar antique shop from a relative they never knew they had, along with a cryptic note.",0.0
Find a writing prompt about mundane and mundane,<Humor> </Humor> <The Mundane Made Extraordinary> </The Mundane Made Extraordinary>,1.0
Find a Fantasy writing prompt,<Humor> </Humor> <The Mundane Made Extraordinary> </The Mundane Made Extraordinary>,0.0
Find a writing prompt about making,"<The Sentient Toaster> </The Sentient Toaster> prompt Your toaster starts giving you surprisingly good life advice, but only when it's making cinnamon toast.",1.0
Find a Fantasy writing prompt,"<The Sentient Toaster> </The Sentient Toaster> prompt Your toaster starts giving you surprisingly good life advice, but only when it's making cinnamon toast.",0.0
Find a writing prompt about child and their and treasure,"<Adventure> </Adventure> <Discovery> </Discovery> <The Map in the Attic> </The Map in the Attic> prompt A child finds an old, incomplete map in their grandparent's attic, hinting at a hidden treasure in their own backyard.",1.0
Find a Fantasy writing prompt,"<Adventure> </Adventure> <Discovery> </Discovery> <The Map in the Attic> </The Map in the Attic> prompt A child finds an old, incomplete map in their grandparent's attic, hinting at a hidden treasure in their own backyard.",0.0
Find a writing prompt about outage,<Slice of Life> </Slice of Life> <Family> </Family> <The Rainy Day> </The Rainy Day> prompt A power outage on a rainy day forces a disconnected family to find new ways to entertain themselves and each other.,1.0
Find a Fantasy writing prompt,<Slice of Life> </Slice of Life> <Family> </Family> <The Rainy Day> </The Rainy Day> prompt A power outage on a rainy day forces a disconnected family to find new ways to entertain themselves and each other.,0.0
Find a Fantasy writing prompt,"<Fantasy> </Fantasy> <Coming of Age> </Coming of Age> <The Fading Magic> </The Fading Magic> prompt In a world where everyone has a small, personal magic, a teenager's magic starts to fade, and they must find out why before it's gone completely.",1.0
Find a Fantasy prompt about coming of age,"<Fantasy> </Fantasy> <Coming of Age> </Coming of Age> <The Fading Magic> </The Fading Magic> prompt In a world where everyone has a small, personal magic, a teenager's magic starts to fade, and they must find out why before it's gone completely.",1.0
Find a writing prompt about world and where,"<Fantasy> </Fantasy> <Coming of Age> </Coming of Age> <The Fading Magic> </The Fading Magic> prompt In a world where everyone has a small, personal magic, a teenager's magic starts to fade, and they must find out why before it's gone completely.",1.0
Find a Science Fiction writing prompt,"<Fantasy> </Fantasy> <Coming of Age> </Coming of Age> <The Fading Magic> </The Fading Magic> prompt In a world where everyone has a small, personal magic, a teenager's magic starts to fade, and they must find out why before it's gone completely.",0.0
Find a Science Fiction writing prompt,"<Science Fiction> </Science Fiction> <Dystopian> </Dystopian> <The Forbidden Color> </The Forbidden Color> prompt In a society where emotions are suppressed by mandating a monochrome world, someone discovers a hidden patch of vibrantly colored flowers.",1.0
Find a Science Fiction prompt about dystopian,"<Science Fiction> </Science Fiction> <Dystopian> </Dystopian> <The Forbidden Color> </The Forbidden Color> prompt In a society where emotions are suppressed by mandating a monochrome world, someone discovers a hidden patch of vibrantly colored flowers.",1.0
Find a writing prompt about emotions,"<Science Fiction> </Science Fiction> <Dystopian> </Dystopian> <The Forbidden Color> </The Forbidden Color> prompt In a society where emotions are suppressed by mandating a monochrome world, someone discovers a hidden patch of vibrantly colored flowers.",1.0
Find a Fantasy writing prompt,"<Science Fiction> </Science Fiction> <Dystopian> </Dystopian> <The Forbidden Color> </The Forbidden Color> prompt In a society where emotions are suppressed by mandating a monochrome world, someone discovers a hidden patch of vibrantly colored flowers.",0.0
Find a Mystery writing prompt,<Mystery> </Mystery> <Justice> </Justice> <The Case of the Missing Mascot> </The Case of the Missing Mascot> prompt A high school's beloved (and slightly bizarre) mascot costume is stolen right before the championship game.,1.0
Find a Mystery prompt about justice,<Mystery> </Mystery> <Justice> </Justice> <The Case of the Missing Mascot> </The Case of the Missing Mascot> prompt A high school's beloved (and slightly bizarre) mascot costume is stolen right before the championship game.,1.0
Find a writing prompt about slightly,<Mystery> </Mystery> <Justice> </Justice> <The Case of the Missing Mascot> </The Case of the Missing Mascot> prompt A high school's beloved (and slightly bizarre) mascot costume is stolen right before the championship game.,1.0
Find a Fantasy writing prompt,<Mystery> </Mystery> <Justice> </Justice> <The Case of the Missing Mascot> </The Case of the Missing Mascot> prompt A high school's beloved (and slightly bizarre) mascot costume is stolen right before the championship game.,0.0
Find a Horror writing prompt,"<Horror> </Horror> <Psychological> </Psychological> <The Reflection That Isn't> </The Reflection That Isn't> prompt Every time you look in a mirror, your reflection does something subtly different from you.",1.0
Find a Horror prompt about psychological,"<Horror> </Horror> <Psychological> </Psychological> <The Reflection That Isn't> </The Reflection That Isn't> prompt Every time you look in a mirror, your reflection does something subtly different from you.",1.0
Find a writing prompt about different,"<Horror> </Horror> <Psychological> </Psychological> <The Reflection That Isn't> </The Reflection That Isn't> prompt Every time you look in a mirror, your reflection does something subtly different from you.",1.0
Find a Fantasy writing prompt,"<Horror> </Horror> <Psychological> </Psychological> <The Reflection That Isn't> </The Reflection That Isn't> prompt Every time you look in a mirror, your reflection does something subtly different from you.",0.0
Find a Romance writing prompt,"<Romance> </Romance> <Second Chances> </Second Chances> <The High School Reunion> </The High School Reunion> prompt Two former high school sweethearts, who broke up messily, meet again at their 20-year reunion and discover the old spark might still be there.",1.0
Find a Romance prompt about second chances,"<Romance> </Romance> <Second Chances> </Second Chances> <The High School Reunion> </The High School Reunion> prompt Two former high school sweethearts, who broke up messily, meet again at their 20-year reunion and discover the old spark might still be there.",1.0
Find a writing prompt about their and reunion,"<Romance> </Romance> <Second Chances> </Second Chances> <The High School Reunion> </The High School Reunion> prompt Two former high school sweethearts, who broke up messily, meet again at their 20-year reunion and discover the old spark might still be there.",1.0
Find a Fantasy writing prompt,"<Romance> </Romance> <Second Chances> </Second Chances> <The High School Reunion> </The High School Reunion> prompt Two former high school sweethearts, who broke up messily, meet again at their 20-year reunion and discover the old spark might still be there.",0.0
Find a writing prompt about group and operates,"<Historical Fiction> </Historical Fiction> <Courage> </Courage> <The Underground Library> </The Underground Library> prompt During a time of censorship and book burning, a group of individuals secretly operates an underground library.",1.0
Find a Fantasy writing prompt,"<Historical Fiction> </Historical Fiction> <Courage> </Courage> <The Underground Library> </The Underground Library> prompt During a time of censorship and book burning, a group of individuals secretly operates an underground library.",0.0
Find a writing prompt about meticulously and friends,"<Contemporary> </Contemporary> <Friendship> </Friendship> <The Road Trip Detour> </The Road Trip Detour> prompt A planned, meticulously scheduled road trip between old friends goes wonderfully awry due to an unexpected detour.",1.0
Find a Fantasy writing prompt,"<Contemporary> </Contemporary> <Friendship> </Friendship> <The Road Trip Detour> </The Road Trip Detour> prompt A planned, meticulously scheduled road trip between old friends goes wonderfully awry due to an unexpected detour.",0.0
Find a writing prompt about highly and popular,"<Humor> </Humor> <Dreams & Aspirations> </Dreams & Aspirations> <The Squirrel Politician> </The Squirrel Politician> prompt A highly intelligent squirrel decides to run for local mayor, and surprisingly, it starts gaining popular support.",1.0
Find a Fantasy writing prompt,"<Humor> </Humor> <Dreams & Aspirations> </Dreams & Aspirations> <The Squirrel Politician> </The Squirrel Politician> prompt A highly intelligent squirrel decides to run for local mayor, and surprisingly, it starts gaining popular support.",0.0
Find a writing prompt about island,"<Adventure> </Adventure> <Survival> </Survival> <Stranded on the Island> </Stranded on the Island> prompt After a shipwreck, a group of unlikely companions must learn to survive on a deserted island that isn't as deserted as they first thought.",1.0
Find a Fantasy writing prompt,"<Adventure> </Adventure> <Survival> </Survival> <Stranded on the Island> </Stranded on the Island> prompt After a shipwreck, a group of unlikely companions must learn to survive on a deserted island that isn't as deserted as they first thought.",0.0
Find a writing prompt about every and elderly and wisdom,"<Slice of Life> </Slice of Life> <The Mundane Made Extraordinary> </The Mundane Made Extraordinary> <The Bus Stop Philosopher> </The Bus Stop Philosopher> prompt Every day at the same bus stop, an elderly person shares a piece of profound, often humorous, wisdom with whoever is waiting.",1.0
Find a Fantasy writing prompt,"<Slice of Life> </Slice of Life> <The Mundane Made Extraordinary> </The Mundane Made Extraordinary> <The Bus Stop Philosopher> </The Bus Stop Philosopher> prompt Every day at the same bus stop, an elderly person shares a piece of profound, often humorous, wisdom with whoever is waiting.",0.0
Find a writing prompt about something and prince and about,"<Fairy Tale Retelling> </Fairy Tale Retelling> <Secrets> </Secrets> <Cinderella's Other Slipper> </Cinderella's Other Slipper> prompt What if Cinderella lost more than just a slipper, and the Prince finds something far more revealing about her true identity?",1.0
Find a Fantasy writing prompt,"<Fairy Tale Retelling> </Fairy Tale Retelling> <Secrets> </Secrets> <Cinderella's Other Slipper> </Cinderella's Other Slipper> prompt What if Cinderella lost more than just a slipper, and the Prince finds something far more revealing about her true identity?",0.0
Find a Science Fiction writing prompt,"<Science Fiction> </Science Fiction> <Time Travel> </Time Travel> <The Accidental Tourist> </The Accidental Tourist> prompt Someone accidentally activates a faulty time machine and ends up in a completely random, inconvenient historical period with only the clothes on their back and a smartphone with 10% battery.",1.0
Find a Science Fiction prompt about time travel,"<Science Fiction> </Science Fiction> <Time Travel> </Time Travel> <The Accidental Tourist> </The Accidental Tourist> prompt Someone accidentally activates a faulty time machine and ends up in a completely random, inconvenient historical period with only the clothes on their back and a smartphone with 10% battery.",1.0
Find a writing prompt about faulty,"<Science Fiction> </Science Fiction> <Time Travel> </Time Travel> <The Accidental Tourist> </The Accidental Tourist> prompt Someone accidentally activates a faulty time machine and ends up in a completely random, inconvenient historical period with only the clothes on their back and a smartphone with 10% battery.",1.0
Find a Fantasy writing prompt,"<Science Fiction> </Science Fiction> <Time Travel> </Time Travel> <The Accidental Tourist> </The Accidental Tourist> prompt Someone accidentally activates a faulty time machine and ends up in a completely random, inconvenient historical period with only the clothes on their back and a smartphone with 10% battery.",0.0
Find a Fantasy writing prompt,"<Fantasy> </Fantasy> <Urban Fantasy> </Urban Fantasy> <The Magical Graffiti> </The Magical Graffiti> prompt Graffiti art in a specific alleyway comes to life at night, but only one person seems to notice.",1.0
Find a Fantasy prompt about urban fantasy,"<Fantasy> </Fantasy> <Urban Fantasy> </Urban Fantasy> <The Magical Graffiti> </The Magical Graffiti> prompt Graffiti art in a specific alleyway comes to life at night, but only one person seems to notice.",1.0
Find a writing prompt about person and graffiti,"<Fantasy> </Fantasy> <Urban Fantasy> </Urban Fantasy> <The Magical Graffiti> </The Magical Graffiti> prompt Graffiti art in a specific alleyway comes to life at night, but only one person seems to notice.",1.0
Find a Science Fiction writing prompt,"<Fantasy> </Fantasy> <Urban Fantasy> </Urban Fantasy> <The Magical Graffiti> </The Magical Graffiti> prompt Graffiti art in a specific alleyway comes to life at night, but only one person seems to notice.",0.0
Find a Mystery writing prompt,"<Mystery> </Mystery> <Betrayal> </Betrayal> <The Anonymous Tip> </The Anonymous Tip> prompt A detective receives an anonymous tip about a cold case they thought was unsolvable, but the tip implicates someone close to them.",1.0
Find a Mystery prompt about betrayal,"<Mystery> </Mystery> <Betrayal> </Betrayal> <The Anonymous Tip> </The Anonymous Tip> prompt A detective receives an anonymous tip about a cold case they thought was unsolvable, but the tip implicates someone close to them.",1.0
Find a writing prompt about someone and anonymous and close,"<Mystery> </Mystery> <Betrayal> </Betrayal> <The Anonymous Tip> </The Anonymous Tip> prompt A detective receives an anonymous tip about a cold case they thought was unsolvable, but the tip implicates someone close to them.",1.0
Find a Fantasy writing prompt,"<Mystery> </Mystery> <Betrayal> </Betrayal> <The Anonymous Tip> </The Anonymous Tip> prompt A detective receives an anonymous tip about a cold case they thought was unsolvable, but the tip implicates someone close to them.",0.0
Find a writing prompt about lonely and shapes and mischievous,"<Children's Fiction> </Children's Fiction> <Friendship> </Friendship> <The Boy Who Befriended a Cloud> </The Boy Who Befriended a Cloud> prompt A lonely child makes friends with a small, mischievous cloud that can change shapes and play games.",1.0
Find a Fantasy writing prompt,"<Children's Fiction> </Children's Fiction> <Friendship> </Friendship> <The Boy Who Befriended a Cloud> </The Boy Who Befriended a Cloud> prompt A lonely child makes friends with a small, mischievous cloud that can change shapes and play games.",0.0
Find a Horror writing prompt,"<Horror> </Horror> <Creature Feature> </Creature Feature> <The Thing in the Cornfield> </The Thing in the Cornfield> prompt Strange noises and unsettlingly perfect crop circles appear in a farmer's cornfield, and the farm animals are terrified.",1.0
Find a Horror prompt about creature feature,"<Horror> </Horror> <Creature Feature> </Creature Feature> <The Thing in the Cornfield> </The Thing in the Cornfield> prompt Strange noises and unsettlingly perfect crop circles appear in a farmer's cornfield, and the farm animals are terrified.",1.0
Find a writing prompt about appear,"<Horror> </Horror> <Creature Feature> </Creature Feature> <The Thing in the Cornfield> </The Thing in the Cornfield> prompt Strange noises and unsettlingly perfect crop circles appear in a farmer's cornfield, and the farm animals are terrified.",1.0
Find a Fantasy writing prompt,"<Horror> </Horror> <Creature Feature> </Creature Feature> <The Thing in the Cornfield> </The Thing in the Cornfield> prompt Strange noises and unsettlingly perfect crop circles appear in a farmer's cornfield, and the farm animals are terrified.",0.0
Find a Romance writing prompt,"<Romance> </Romance> <Paranormal> </Paranormal> <Love with a Ghost> </Love with a Ghost> prompt Someone falls in love with the charming, witty ghost haunting their new apartment.",1.0
Find a Romance prompt about paranormal,"<Romance> </Romance> <Paranormal> </Paranormal> <Love with a Ghost> </Love with a Ghost> prompt Someone falls in love with the charming, witty ghost haunting their new apartment.",1.0
Find a writing prompt about falls and ghost,"<Romance> </Romance> <Paranormal> </Paranormal> <Love with a Ghost> </Love with a Ghost> prompt Someone falls in love with the charming, witty ghost haunting their new apartment.",1.0
Find a Fantasy writing prompt,"<Romance> </Romance> <Paranormal> </Paranormal> <Love with a Ghost> </Love with a Ghost> prompt Someone falls in love with the charming, witty ghost haunting their new apartment.",0.0
Find a writing prompt about struggling,"<Historical Fiction> </Historical Fiction> <Identity> </Identity> <The Counterfeit Artist> </The Counterfeit Artist> prompt In 1920s Paris, a talented but poor artist is coerced into forging masterpieces, struggling with their conscience and the thrill of deception.",1.0
Find a Fantasy writing prompt,"<Historical Fiction> </Historical Fiction> <Identity> </Identity> <The Counterfeit Artist> </The Counterfeit Artist> prompt In 1920s Paris, a talented but poor artist is coerced into forging masterpieces, struggling with their conscience and the thrill of deception.",0.0
Find a writing prompt about their,"<Contemporary> </Contemporary> <Loss & Grief> </Loss & Grief> <The Unsent Letters> </The Unsent Letters> prompt After a loved one passes away, a character finds a box of unsent letters revealing a hidden side of their life.",1.0
Find a Fantasy writing prompt,"<Contemporary> </Contemporary> <Loss & Grief> </Loss & Grief> <The Unsent Letters> </The Unsent Letters> prompt After a loved one passes away, a character finds a box of unsent letters revealing a hidden side of their life.",0.0
Find a writing prompt about crying and toast and unsolicited,"<Humor> </Humor> <Technology> </Technology> <The Overly Empathetic AI> </The Overly Empathetic AI> prompt A new home assistant AI becomes overly empathetic, crying when you burn toast and offering unsolicited relationship advice.",1.0
Find a Fantasy writing prompt,"<Humor> </Humor> <Technology> </Technology> <The Overly Empathetic AI> </The Overly Empathetic AI> prompt A new home assistant AI becomes overly empathetic, crying when you burn toast and offering unsolicited relationship advice.",0.0
Find a writing prompt about magical and group and children,"<Adventure> </Adventure> <Exploration> </Exploration> <Journey to the Center of the Park> </Journey to the Center of the Park> prompt A group of children believes there's a hidden, magical world at the very center of their local, ordinary park, and they set out to find it.",1.0
Find a Fantasy writing prompt,"<Adventure> </Adventure> <Exploration> </Exploration> <Journey to the Center of the Park> </Journey to the Center of the Park> prompt A group of children believes there's a hidden, magical world at the very center of their local, ordinary park, and they set out to find it.",0.0
Find a writing prompt about triumphs,"<Slice of Life> </Slice of Life> <Coming of Age> </Coming of Age> <The First Job Jitters> </The First Job Jitters> prompt A teenager experiences the anxieties, absurdities, and small triumphs of their very first summer job.",1.0
Find a Fantasy writing prompt,"<Slice of Life> </Slice of Life> <Coming of Age> </Coming of Age> <The First Job Jitters> </The First Job Jitters> prompt A teenager experiences the anxieties, absurdities, and small triumphs of their very first summer job.",0.0
Find a Fantasy writing prompt,<Fantasy> </Fantasy> <Good vs. Evil> </Good vs. Evil> <The Reluctant Hero's Familiar> </The Reluctant Hero's Familiar> prompt A powerful magical creature is bound as a familiar to a prophesied hero who would much rather be a shepherd than save the world.,1.0
Find a Fantasy prompt about good vs. evil,<Fantasy> </Fantasy> <Good vs. Evil> </Good vs. Evil> <The Reluctant Hero's Familiar> </The Reluctant Hero's Familiar> prompt A powerful magical creature is bound as a familiar to a prophesied hero who would much rather be a shepherd than save the world.,1.0
Find a writing prompt about shepherd,<Fantasy> </Fantasy> <Good vs. Evil> </Good vs. Evil> <The Reluctant Hero's Familiar> </The Reluctant Hero's Familiar> prompt A powerful magical creature is bound as a familiar to a prophesied hero who would much rather be a shepherd than save the world.,1.0
Find a Science Fiction writing prompt,<Fantasy> </Fantasy> <Good vs. Evil> </Good vs. Evil> <The Reluctant Hero's Familiar> </The Reluctant Hero's Familiar> prompt A powerful magical creature is bound as a familiar to a prophesied hero who would much rather be a shepherd than save the world.,0.0
Find a Science Fiction writing prompt,"<Science Fiction> </Science Fiction> <Space Opera> </Space Opera> <The Space Pirate's Conscience> </The Space Pirate's Conscience> prompt A notorious space pirate captures a ship carrying vital medical supplies for a plague-ridden colony, and one crew member develops a conscience.",1.0
Find a Science Fiction prompt about space opera,"<Science Fiction> </Science Fiction> <Space Opera> </Space Opera> <The Space Pirate's Conscience> </The Space Pirate's Conscience> prompt A notorious space pirate captures a ship carrying vital medical supplies for a plague-ridden colony, and one crew member develops a conscience.",1.0
Find a writing prompt about notorious,"<Science Fiction> </Science Fiction> <Space Opera> </Space Opera> <The Space Pirate's Conscience> </The Space Pirate's Conscience> prompt A notorious space pirate captures a ship carrying vital medical supplies for a plague-ridden colony, and one crew member develops a conscience.",1.0
Find a Fantasy writing prompt,"<Science Fiction> </Science Fiction> <Space Opera> </Space Opera> <The Space Pirate's Conscience> </The Space Pirate's Conscience> prompt A notorious space pirate captures a ship carrying vital medical supplies for a plague-ridden colony, and one crew member develops a conscience.",0.0
Find a Mystery writing prompt,"<Mystery> </Mystery> <Cozy Mystery> </Cozy Mystery> <The Village Bake-Off Sabotage> </The Village Bake-Off Sabotage> prompt Someone is sabotaging contestants in the annual village bake-off, and the amateur sleuth/baker must find the culprit before their own cake is ruined.",1.0
Find a Mystery prompt about cozy mystery,"<Mystery> </Mystery> <Cozy Mystery> </Cozy Mystery> <The Village Bake-Off Sabotage> </The Village Bake-Off Sabotage> prompt Someone is sabotaging contestants in the annual village bake-off, and the amateur sleuth/baker must find the culprit before their own cake is ruined.",1.0
Find a writing prompt about annual and their and before,"<Mystery> </Mystery> <Cozy Mystery> </Cozy Mystery> <The Village Bake-Off Sabotage> </The Village Bake-Off Sabotage> prompt Someone is sabotaging contestants in the annual village bake-off, and the amateur sleuth/baker must find the culprit before their own cake is ruined.",1.0
Find a Fantasy writing prompt,"<Mystery> </Mystery> <Cozy Mystery> </Cozy Mystery> <The Village Bake-Off Sabotage> </The Village Bake-Off Sabotage> prompt Someone is sabotaging contestants in the annual village bake-off, and the amateur sleuth/baker must find the culprit before their own cake is ruined.",0.0
Find a Horror writing prompt,"<Horror> </Horror> <Supernatural> </Supernatural> <The Doll That Ages> </The Doll That Ages> prompt An antique doll in the attic seems to be aging, mirroring the appearance of someone in the family.",1.0
Find a Horror prompt about supernatural,"<Horror> </Horror> <Supernatural> </Supernatural> <The Doll That Ages> </The Doll That Ages> prompt An antique doll in the attic seems to be aging, mirroring the appearance of someone in the family.",1.0
Find a writing prompt about someone,"<Horror> </Horror> <Supernatural> </Supernatural> <The Doll That Ages> </The Doll That Ages> prompt An antique doll in the attic seems to be aging, mirroring the appearance of someone in the family.",1.0
Find a Fantasy writing prompt,"<Horror> </Horror> <Supernatural> </Supernatural> <The Doll That Ages> </The Doll That Ages> prompt An antique doll in the attic seems to be aging, mirroring the appearance of someone in the family.",0.0
Find a Romance writing prompt,"<Romance> </Romance> <Historical> </Historical> <The Governess's Secret Admirer> </The Governess's Secret Admirer> prompt A governess in a grand Victorian estate starts receiving anonymous, poetic love letters.",1.0
Find a Romance prompt about historical,"<Romance> </Romance> <Historical> </Historical> <The Governess's Secret Admirer> </The Governess's Secret Admirer> prompt A governess in a grand Victorian estate starts receiving anonymous, poetic love letters.",1.0
Find a writing prompt about estate,"<Romance> </Romance> <Historical> </Historical> <The Governess's Secret Admirer> </The Governess's Secret Admirer> prompt A governess in a grand Victorian estate starts receiving anonymous, poetic love letters.",1.0
Find a Fantasy writing prompt,"<Romance> </Romance> <Historical> </Historical> <The Governess's Secret Admirer> </The Governess's Secret Admirer> prompt A governess in a grand Victorian estate starts receiving anonymous, poetic love letters.",0.0
Find a writing prompt about filled,"<Historical Fiction> </Historical Fiction> <Family> </Family> <The Immigrant's Suitcase> </The Immigrant's Suitcase> prompt A family discovers an old suitcase belonging to their immigrant ancestor, filled with items that tell the story of their journey and new life.",1.0
Find a Fantasy writing prompt,"<Historical Fiction> </Historical Fiction> <Family> </Family> <The Immigrant's Suitcase> </The Immigrant's Suitcase> prompt A family discovers an old suitcase belonging to their immigrant ancestor, filled with items that tell the story of their journey and new life.",0.0
Find a writing prompt about finds and unexpected and troubled,<Contemporary> </Contemporary> <Redemption> </Redemption> <The Community Garden Project> </The Community Garden Project> prompt A troubled individual finds an unexpected path to redemption by volunteering at a community garden.,1.0
Find a Fantasy writing prompt,<Contemporary> </Contemporary> <Redemption> </Redemption> <The Community Garden Project> </The Community Garden Project> prompt A troubled individual finds an unexpected path to redemption by volunteering at a community garden.,0.0
Find a writing prompt about complaints and human and animals,"<Humor> </Humor> <Playful> </Playful> <The Day the Animals Talked Back> </The Day the Animals Talked Back> prompt For 24 hours, all animals can speak human language, and they have a LOT of complaints and observations.",1.0
Find a Fantasy writing prompt,"<Humor> </Humor> <Playful> </Playful> <The Day the Animals Talked Back> </The Day the Animals Talked Back> prompt For 24 hours, all animals can speak human language, and they have a LOT of complaints and observations.",0.0
Find a writing prompt about lighthouse and summer and decommissioned,"<Adventure> </Adventure> <Secrets> </Secrets> <The Secret of the Lighthouse> </The Secret of the Lighthouse> prompt An old, decommissioned lighthouse is rumored to hold a secret, and a group of friends decides to investigate during a summer storm.",1.0
Find a Fantasy writing prompt,"<Adventure> </Adventure> <Secrets> </Secrets> <The Secret of the Lighthouse> </The Secret of the Lighthouse> prompt An old, decommissioned lighthouse is rumored to hold a secret, and a group of friends decides to investigate during a summer storm.",0.0
Find a writing prompt about perform and person,<Slice of Life> </Slice of Life> <Dreams & Aspirations> </Dreams & Aspirations> <The Open Mic Night> </The Open Mic Night> prompt A shy person finally gathers the courage to perform their secret talent at a local open mic night.,1.0
